CD_CONVENIO;TP_CONVENIO
3;C
5;C
7;C
11;C
14;C
22;C
12;C
6;C
15;C
21;C
17;C
24;C
25;C
26;C
30;C
32;C
23;C
18;C
19;C
20;C
27;C
31;C
33;C
34;C
35;C
41;C
36;C
45;C
47;C
50;C
61;C
43;C
46;C
44;C
48;C
49;C
1;H
65;C
66;P
67;C
68;C
69;C
70;C
53;C
54;P
55;C
56;C
57;C
13;C
16;C
29;C
38;C
39;C
63;C
71;C
72;C
73;C
74;C
75;C
76;C
42;C
51;C
28;C
4;P
37;P
40;P
52;C
8;C
9;C
10;C
120;C
121;C
122;C
123;C
124;C
125;C
126;C
127;C
128;C
129;C
130;C
131;C
132;C
133;C
134;C
62;C
148;C
149;C
163;C
164;C
165;C
166;C
167;C
168;C
169;C
170;C
171;C
172;C
150;C
151;C
152;C
153;C
154;C
155;C
156;C
157;C
158;C
159;C
160;C
161;C
162;C
60;C
135;P
136;P
137;C
138;C
139;C
140;C
141;C
142;C
143;C
144;C
145;P
146;C
147;C
58;C
59;C
77;C
78;C
79;C
80;C
81;C
82;C
83;C
84;C
85;C
86;C
87;C
88;C
89;C
90;C
301;C
2;A
91;C
92;C
93;C
94;C
95;C
96;C
97;C
98;C
99;C
100;C
101;C
102;P
103;C
104;C
105;C
106;C
107;C
108;C
109;C
110;C
111;C
112;C
113;C
114;C
115;C
116;C
117;C
118;C
119;C
261;P
281;C
221;C
241;C
173;C
174;C
175;C
176;C
177;P
178;C
179;C
180;C
181;C
182;C
183;C
184;C
185;C
186;C
187;C
188;C
207;P
64;C
189;C
190;C
191;C
192;C
193;C
194;C
195;C
196;C
197;C
198;C
199;C
200;C
201;P
202;C
203;C
204;C
205;C
206;C
401;C
208;P
421;C
341;C
381;P
321;C
441;C
464;C
485;P
501;C
541;C
561;C
601;C
621;C
584;C
641;C
377;C
661;C
721;C
742;C
762;P
902;C
248;C
212;C
303;C
309;P
310;C
213;C
217;C
662;C
268;C
210;P
302;C
304;C
663;C
821;C
822;P
843;C
722;C
862;P
702;P
882;C
982;C
983;C
211;C
242;C
305;C
306;C
307;P
244;C
308;C
311;C
312;C
313;C
723;C
922;P
209;C
234;C
801;P
942;C
243;C
314;C
315;C
316;C
317;C
318;C
319;C
320;C
287;C
214;C
559;C
215;C
216;C
218;C
