,CD_CONVENIO,TP_CONVENIO
0,3,C
1,5,C
2,7,C
3,11,C
4,14,C
5,22,C
6,12,C
7,6,C
8,15,C
9,21,C
10,17,C
11,24,C
12,25,C
13,26,C
14,30,C
15,32,C
16,23,C
17,18,C
18,19,C
19,20,C
20,27,C
21,31,C
22,33,C
23,34,C
24,35,C
25,41,C
26,36,C
27,45,C
28,47,C
29,50,C
30,61,C
31,43,C
32,46,C
33,44,C
34,48,C
35,49,C
36,1,H
37,65,C
38,66,P
39,67,C
40,68,C
41,69,C
42,70,C
43,53,C
44,54,P
45,55,C
46,56,C
47,57,C
48,13,C
49,16,C
50,29,C
51,38,C
52,39,C
53,63,C
54,71,C
55,72,C
56,73,C
57,74,C
58,75,C
59,76,C
60,42,C
61,51,C
62,28,C
63,4,P
64,37,P
65,40,P
66,52,C
67,8,C
68,9,C
69,10,C
70,120,C
71,121,C
72,122,C
73,123,C
74,124,C
75,125,C
76,126,C
77,127,C
78,128,C
79,129,C
80,130,C
81,131,C
82,132,C
83,133,C
84,134,C
85,62,C
86,148,C
87,149,C
88,163,C
89,164,C
90,165,C
91,166,C
92,167,C
93,168,C
94,169,C
95,170,C
96,171,C
97,172,C
98,150,C
99,151,C
100,152,C
101,153,C
102,154,C
103,155,C
104,156,C
105,157,C
106,158,C
107,159,C
108,160,C
109,161,C
110,162,C
111,60,C
112,135,P
113,136,P
114,137,C
115,138,C
116,139,C
117,140,C
118,141,C
119,142,C
120,143,C
121,144,C
122,145,P
123,146,C
124,147,C
125,58,C
126,59,C
127,77,C
128,78,C
129,79,C
130,80,C
131,81,C
132,82,C
133,83,C
134,84,C
135,85,C
136,86,C
137,87,C
138,88,C
139,89,C
140,90,C
141,301,C
142,2,A
143,91,C
144,92,C
145,93,C
146,94,C
147,95,C
148,96,C
149,97,C
150,98,C
151,99,C
152,100,C
153,101,C
154,102,P
155,103,C
156,104,C
157,105,C
158,106,C
159,107,C
160,108,C
161,109,C
162,110,C
163,111,C
164,112,C
165,113,C
166,114,C
167,115,C
168,116,C
169,117,C
170,118,C
171,119,C
172,261,P
173,281,C
174,221,C
175,241,C
176,173,C
177,174,C
178,175,C
179,176,C
180,177,P
181,178,C
182,179,C
183,180,C
184,181,C
185,182,C
186,183,C
187,184,C
188,185,C
189,186,C
190,187,C
191,188,C
192,207,P
193,64,C
194,189,C
195,190,C
196,191,C
197,192,C
198,193,C
199,194,C
200,195,C
201,196,C
202,197,C
203,198,C
204,199,C
205,200,C
206,201,P
207,202,C
208,203,C
209,204,C
210,205,C
211,206,C
212,401,C
213,208,P
214,421,C
215,341,C
216,381,P
217,321,C
218,441,C
219,464,C
220,485,P
221,501,C
222,541,C
223,561,C
224,601,C
225,621,C
226,584,C
227,641,C
228,377,C
229,661,C
230,721,C
231,742,C
232,762,P
233,902,C
234,248,C
235,212,C
236,303,C
237,309,P
238,310,C
239,213,C
240,217,C
241,662,C
242,268,C
243,210,P
244,302,C
245,304,C
246,663,C
247,821,C
248,822,P
249,843,C
250,722,C
251,862,P
252,702,P
253,882,C
254,982,C
255,983,C
256,211,C
257,242,C
258,305,C
259,306,C
260,307,P
261,244,C
262,308,C
263,311,C
264,312,C
265,313,C
266,723,C
267,922,P
268,209,C
269,234,C
270,801,P
271,942,C
272,243,C
273,314,C
274,315,C
275,316,C
276,317,C
277,318,C
278,319,C
279,320,C
280,287,C
281,214,C
282,559,C
283,215,C
284,216,C
285,218,C
